2018.605 	 5.910
2018.603 	 6.000
2018.600 	 5.930
2018.597 	 6.140
2018.589 	 6.160
2018.586 	 6.110
2018.584 	 6.180
2018.581 	 6.000
2018.578 	 6.040
2018.570 	 6.090
2018.567 	 6.120
2018.564 	 6.120
2018.562 	 6.120
2018.559 	 6.180
2018.551 	 6.140
2018.548 	 6.100
2018.545 	 6.160
2018.542 	 6.050
2018.540 	 5.940
2018.532 	 5.720
2018.529 	 5.740
2018.526 	 5.700
2018.523 	 5.980
2018.521 	 6.020
2018.512 	 6.400
2018.510 	 6.770
2018.507 	 6.590
2018.504 	 6.880
2018.501 	 6.870
2018.493 	 6.900
2018.490 	 6.940
2018.488 	 7.160
2018.485 	 7.170
2018.482 	 7.410
2018.474 	 7.450
2018.471 	 7.450
2018.468 	 7.410
2018.466 	 7.220
2018.463 	 7.420
2018.455 	 7.410
2018.452 	 7.350
2018.449 	 7.250
2018.447 	 7.270
2018.436 	 7.250
2018.433 	 7.150
2018.430 	 7.200
2018.427 	 7.250
2018.425 	 7.240
2018.416 	 7.160
2018.414 	 6.950
2018.411 	 7.000
2018.408 	 6.980
2018.405 	 6.910
2018.397 	 6.890
2018.395 	 6.880
2018.392 	 6.840
2018.389 	 6.870
2018.386 	 6.820
2018.378 	 6.920
2018.375 	 6.880
2018.373 	 6.660
2018.370 	 6.520
2018.367 	 6.520
2018.359 	 6.300
2018.356 	 6.230
2018.353 	 6.260
2018.351 	 6.280
2018.348 	 6.210
2018.340 	 6.130
2018.337 	 6.100
2018.334 	 6.120
2018.332 	 6.080
2018.329 	 6.250
2018.321 	 6.290
2018.318 	 6.400
2018.312 	 6.300
2018.310 	 6.400
2018.301 	 6.460
2018.299 	 6.400
2018.296 	 6.400
2018.293 	 6.270
2018.290 	 6.050
2018.282 	 6.080
2018.279 	 5.800
2018.277 	 5.490
2018.274 	 5.560
2018.271 	 5.500
2018.263 	 5.550
2018.260 	 5.580
2018.258 	 5.600
2018.255 	 5.630
2018.241 	 5.560
2018.238 	 5.590
2018.236 	 5.550
2018.233 	 5.400
2018.225 	 5.480
2018.222 	 5.650
2018.219 	 5.640
2018.216 	 5.480
2018.214 	 5.470
2018.205 	 5.530
2018.203 	 5.600
2018.200 	 5.590
2018.197 	 5.550
2018.195 	 5.600
2018.186 	 5.670
2018.184 	 5.540
2018.181 	 5.440
2018.178 	 5.300
2018.175 	 5.290
2018.167 	 5.150
2018.164 	 5.000
2018.162 	 4.950
2018.159 	 4.710
2018.156 	 4.860
2018.148 	 4.850
2018.145 	 4.860
2018.142 	 4.850
2018.140 	 4.870
2018.137 	 4.800
2018.129 	 4.750
2018.126 	 4.830
2018.123 	 4.800
2018.121 	 4.890
2018.118 	 4.830
2018.110 	 4.670
2018.107 	 4.810
2018.104 	 4.740
2018.101 	 4.620
2018.099 	 4.850
2018.090 	 5.050
2018.088 	 5.080
2018.085 	 5.050
2018.082 	 5.070
2018.079 	 5.150
2018.068 	 5.230
2018.066 	 5.050
2018.063 	 5.100
2018.060 	 5.000
2018.052 	 5.010
2018.049 	 5.310
2018.047 	 4.820
2018.044 	 4.650
2018.041 	 4.700
2018.033 	 4.570
2018.030 	 4.630
2018.027 	 4.560
2018.025 	 4.550
2018.022 	 4.580
2018.014 	 4.600
2018.011 	 4.580
2018.008 	 4.580
2018.005 	 4.650
2017.995 	 4.720
2017.992 	 4.570
2017.989 	 4.480
2017.975 	 4.550
2017.973 	 4.570
2017.970 	 4.580
2017.967 	 4.670
2017.964 	 4.550
2017.956 	 4.540
2017.953 	 4.540
2017.951 	 4.600
2017.948 	 4.780
2017.945 	 4.790
2017.937 	 4.780
2017.934 	 4.730
2017.932 	 4.710
2017.929 	 4.780
2017.926 	 4.800
2017.918 	 4.710
2017.915 	 4.650
2017.912 	 4.350
2017.910 	 4.330
2017.907 	 4.360
2017.899 	 4.390
2017.896 	 4.450
2017.893 	 4.490
2017.890 	 4.600
2017.888 	 4.640
2017.879 	 4.650
2017.877 	 4.750
2017.874 	 4.680
2017.871 	 4.740
2017.868 	 4.690
2017.860 	 4.730
2017.858 	 4.850
2017.855 	 4.770
2017.852 	 4.780
2017.849 	 4.870
2017.841 	 4.930
2017.838 	 4.740
2017.836 	 4.720
2017.833 	 4.700
2017.830 	 4.690
2017.822 	 4.700
2017.819 	 4.770
2017.816 	 4.710
2017.814 	 4.780
2017.811 	 4.750
2017.803 	 4.850
2017.800 	 4.870
2017.797 	 4.890
2017.795 	 4.900
2017.792 	 4.950
2017.784 	 4.940
2017.781 	 5.000
2017.778 	 5.000
2017.775 	 5.100
2017.773 	 5.270
2017.764 	 4.200
2017.762 	 4.200
2017.759 	 4.200
2017.756 	 4.020
2017.753 	 3.910
2017.745 	 3.860
2017.742 	 3.790
2017.740 	 3.870
2017.737 	 3.970
2017.734 	 3.970
2017.726 	 3.980
2017.723 	 3.970
2017.721 	 3.980
2017.718 	 4.030
2017.715 	 4.060
2017.707 	 4.030
2017.704 	 4.170
2017.701 	 4.140
2017.699 	 4.060
2017.696 	 4.130
2017.688 	 4.150
2017.685 	 4.040
2017.682 	 4.040
2017.679 	 4.040
2017.677 	 4.100
2017.668 	 4.110
2017.666 	 4.110
2017.663 	 4.110
2017.660 	 4.100
2017.658 	 4.100
2017.649 	 4.220
2017.647 	 4.290
2017.644 	 4.320
2017.641 	 4.330
2017.638 	 4.310
2017.630 	 4.330
2017.627 	 4.290
2017.625 	 4.300
2017.622 	 4.290
2017.619 	 4.300
2017.611 	 4.300
2017.608 	 4.300
2017.605 	 4.290
2017.603 	 4.280
2017.600 	 4.270
2017.592 	 4.320
2017.589 	 4.250
2017.586 	 4.920
2017.584 	 4.980
2017.581 	 4.900
2017.573 	 4.910
2017.570 	 5.000
2017.567 	 5.070
2017.564 	 5.140
2017.562 	 5.130
2017.553 	 5.110
2017.551 	 5.050
2017.548 	 5.040
2017.545 	 5.020
2017.542 	 5.090
2017.534 	 4.900
2017.532 	 4.940
2017.529 	 4.870
2017.526 	 5.070
2017.523 	 5.120
2017.515 	 5.040
2017.512 	 4.970
2017.510 	 5.030
2017.507 	 4.950
2017.504 	 4.870
2017.496 	 4.900
2017.493 	 4.910
2017.490 	 4.600
2017.488 	 4.490
2017.485 	 4.530
2017.477 	 4.550
2017.474 	 4.570
2017.471 	 4.490
2017.468 	 4.560
2017.466 	 4.510
2017.458 	 4.370
2017.455 	 4.470
2017.452 	 4.510
2017.449 	 4.410
2017.438 	 4.240
2017.436 	 4.190
2017.433 	 4.080
2017.430 	 4.030
2017.427 	 4.100
2017.419 	 4.130
2017.416 	 4.150
2017.414 	 4.170
2017.411 	 4.070
2017.408 	 4.100
2017.400 	 4.340
2017.397 	 4.830
2017.395 	 4.730
2017.392 	 4.910
2017.389 	 4.970
2017.381 	 5.070
2017.378 	 5.100
2017.375 	 4.970
2017.373 	 4.940
2017.370 	 5.100
2017.362 	 5.200
2017.359 	 5.110
2017.356 	 4.950
2017.353 	 5.010
2017.351 	 5.020
